City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
85,Atuona,PF,79.16,few clouds,-9.8,-139.0333,Villa Enata
86,Praya,CV,75.74,overcast clouds,14.9215,-23.5087,LT Aparthotel
89,Bossangoa,CF,79.66,scattered clouds,6.4926,17.4552,LA PERLE DE BOSTON
90,Arraial Do Cabo,BR,84.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
95,Alta Floresta,BR,89.42,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
97,San Felipe,VE,83.73,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
99,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
104,Tarakan,ID,79.02,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
106,Alofi,NU,78.69,clear sky,-19.0595,-169.9187,Taloa Heights
113,Karratha,AU,87.22,clear sky,-20.7377,116.8463,ibis Styles Karratha
114,Touros,BR,86.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
130,Hithadhoo,MV,81.18,overcast clouds,-0.6,73.0833,Scoop Guest House
132,Boa Vista,BR,85.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
137,Honiara,SB,79.9,overcast clouds,-9.4333,159.95,Heritage Park Hotel
143,Rio Grande,BR,86.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
148,Sinnamary,GF,77.16,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
156,Kapaa,US,78.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
157,Marsh Harbour,BS,77.11,clear sky,26.5412,-77.0636,Abaco Beach Resort
158,Ewa Beach,US,78.75,broken clouds,21.3156,-158.0072,Uncle Junior Robert
162,Yarada,IN,75.52,mist,17.65,83.2667,Vishranti
164,Les Cayes,HT,82.78,broken clouds,18.2,-73.75,Villa Orphee
169,Vila Velha,BR,84.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
172,Hambantota,LK,79.03,overcast clouds,6.1241,81.1185,Bungalow 63
174,Lorengau,PG,82.08,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
189,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
192,Cayenne,GF,77.04,light rain,4.9333,-52.3333,Hôtel Le Dronmi
194,Aripuana,BR,81.91,overcast clouds,-9.1667,-60.6333,
197,Placido De Castro,BR,82.98,broken clouds,-10.3353,-67.1856,Hotel Carioca
200,Cabo San Lucas,MX,80.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
204,Buala,SB,81.57,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
208,Isla Mujeres,MX,84.25,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
213,Samarai,PG,81.84,overcast clouds,-10.6167,150.6667,Nuli Sapi
221,Mathathane,BW,84.51,overcast clouds,-22.2687,28.7495,Selepswe Resort
224,Maraa,BR,84.6,overcast clouds,-1.8333,-65.3667,
225,Carutapera,BR,84.4,scattered clouds,-1.195,-46.02,Lidera
231,Daru,PG,76.78,overcast clouds,-9.0763,143.2092,Daru Lodge
236,Kudahuvadhoo,MV,81.32,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
238,General Roca,AR,76.62,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
240,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
241,Port-Gentil,GA,79.54,overcast clouds,-0.7193,8.7815,Fengshui Residence
244,Souillac,MU,79.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
247,Champerico,GT,89.29,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
249,Malindi,KE,79.11,light rain,-3.2175,40.1191,African House Resort
250,Paso De Carrasco,UY,75.65,broken clouds,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
251,Sao Filipe,CV,75.54,broken clouds,14.8961,-24.4956,Hotel Xaguate
256,La Union,PE,78.91,few clouds,-5.4,-80.75,Los Portales
261,Thinadhoo,MV,80.31,overcast clouds,0.5333,72.9333,
267,Kayes,ML,85.35,scattered clouds,14.0,-11.0,
268,Tapachula,MX,86.0,clear sky,14.9,-92.2833,Hotel Casa Mexicana
270,Bosaso,SO,76.12,clear sky,11.2842,49.1816,Red Sea Hotel
272,Aitape,PG,78.71,moderate rain,-3.1374,142.3475,
278,Oranjestad,AW,84.15,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
288,Chuy,UY,76.33,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
290,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
292,Bandarbeyla,SO,76.86,clear sky,9.4942,50.8122,JABIR HOTEL
293,Mercedes,AR,82.85,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
296,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
298,Ko Samui,TH,80.51,few clouds,9.5357,99.9357,The Passage
299,Trairi,BR,83.46,broken clouds,-3.2778,-39.2689,janelas do mar
300,Oriximina,BR,81.05,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
302,Coahuayana,MX,88.95,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
303,Vanimo,PG,78.55,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
305,Mogadishu,SO,79.56,overcast clouds,2.0371,45.3438,Hotel Juba
306,Bonfim,BR,86.02,overcast clouds,3.0833,-59.95,
308,Poum,NC,77.67,overcast clouds,-20.2333,164.0167,Gîte kajeon
312,Vao,NC,77.38,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
317,Sibolga,ID,76.14,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
320,Mocuba,MZ,82.6,clear sky,-16.8392,36.9856,Phama Lodge
322,Mount Isa,AU,79.02,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
323,Puerto Suarez,BO,75.76,scattered clouds,-18.95,-57.8,Hotel casa real
324,La Reforma,MX,85.75,broken clouds,25.0833,-108.05,Hotel Reforma
325,Amahai,ID,79.45,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
326,San Juan,AR,81.48,clear sky,-31.5375,-68.5364,Hotel Provincial
327,Boyolangu,ID,76.35,overcast clouds,-8.1181,111.8935,Yos ega cv
328,Viedma,AR,76.64,broken clouds,-40.8135,-62.9967,Hotel Cristal
331,Itarema,BR,83.59,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
335,Vung Tau,VN,76.42,scattered clouds,10.346,107.0843,Green hotel
338,Maldonado,UY,85.39,scattered clouds,-34.6667,-54.9167,La Cimarrona
341,Hobyo,SO,78.69,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
342,Roebourne,AU,87.48,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
345,Harper,LR,80.13,broken clouds,4.375,-7.7169,Screensaver
346,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
347,Diamantino,BR,82.35,moderate rain,-14.4086,-56.4461,Hotel Delta
350,Mamboma,SL,77.88,light rain,8.0833,-11.6833,
353,Lagos,NG,84.52,few clouds,6.5833,3.75,
355,Moron,AR,80.94,overcast clouds,-34.6534,-58.6198,Hotel Morón
358,Dingle,PH,75.49,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
363,San Policarpo,PH,79.79,overcast clouds,12.1791,125.5072,Agapita M. Nicart
367,Isangel,VU,80.71,light rain,-19.55,169.2667,Tanna Lodge
368,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
372,Robertsport,LR,81.68,clear sky,6.7533,-11.3686,Kwepunha Retreat
376,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
379,Namatanai,PG,78.93,light rain,-3.6667,152.4333,Seagulls Inn Namatani
385,Kirakira,SB,81.91,overcast clouds,-10.4544,161.9205,SanBiz Lodge
386,Todos Santos,MX,80.01,scattered clouds,23.45,-110.2167,Hotel California Todos Santos
387,Yenagoa,NG,81.88,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
390,Ndele,CF,79.7,clear sky,8.4109,20.6473,
393,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
398,Rocha,UY,77.85,broken clouds,-34.4833,-54.3333,Hotel Arrarte
399,Malakal,SS,81.01,broken clouds,9.5334,31.6605,Nile Palace Hotel
