City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Carnarvon,AU,2021-12-09 15:59:01,-24.8667,113.6333,71.67,83,75,18.41
113,Hervey Bay,AU,2021-12-09 16:01:14,-25.2986,152.8535,78.03,85,4,1.01
114,Pisco,PE,2021-12-09 15:59:41,-13.7,-76.2167,70.02,77,90,6.91
115,Norman Wells,CA,2021-12-09 16:01:15,65.282,-126.8329,8.73,96,99,4.27
116,Mar Del Plata,AR,2021-12-09 15:58:11,-38.0023,-57.5575,73.42,85,40,25.01
117,Karpokhorion,GR,2021-12-09 16:01:15,39.3333,22.0167,56.05,80,40,2.46
118,Auki,SB,2021-12-09 16:01:15,-8.7676,160.7034,78.46,88,100,2.04
119,Cabo San Lucas,MX,2021-12-09 15:58:03,22.8909,-109.9124,76.51,58,90,1.01
120,Nioro,GM,2021-12-09 16:01:16,13.35,-15.75,100.87,10,24,4.59
121,Luwuk,ID,2021-12-09 15:59:08,-0.9516,122.7875,77.92,85,23,3.98
122,Qui Nhon,VN,2021-12-09 15:59:49,13.7667,109.2333,72.95,84,7,15.03
123,Klaksvik,FO,2021-12-09 16:01:16,62.2266,-6.589,41.92,79,100,16.58
124,Cidreira,BR,2021-12-09 15:59:29,-30.1811,-50.2056,71.64,62,24,10.96
125,Avera,US,2021-12-09 15:58:52,33.194,-82.5271,47.71,65,85,8.46
126,Bredasdorp,ZA,2021-12-09 15:58:58,-34.5322,20.0403,67.28,82,100,17.27
127,Snyder,US,2021-12-09 16:01:17,32.7179,-100.9176,65.35,36,1,11.5
128,Namatanai,PG,2021-12-09 15:59:04,-3.6667,152.4333,80.19,83,99,13.82
129,Flin Flon,CA,2021-12-09 16:00:14,54.7682,-101.865,8.38,93,100,6.17
130,Sovetskaya Gavan,RU,2021-12-09 16:01:17,48.9723,140.2878,28.13,76,68,4.94
131,Severo-Kurilsk,RU,2021-12-09 15:59:06,50.6789,156.125,33.57,86,34,10.87
132,Martinsburg,US,2021-12-09 16:01:18,39.4562,-77.9639,41.61,61,87,3.96
133,Tasiilaq,GL,2021-12-09 15:59:18,65.6145,-37.6368,27.77,62,100,13.02
134,Wanning,CN,2021-12-09 16:01:19,18.8003,110.3967,70.88,74,85,10.02
135,Petatlan,MX,2021-12-09 16:01:19,17.5167,-101.2667,85.17,54,0,2.3
