City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Prenzlau,DE,53.3167,13.8667,36.21,99,100,7.63,overcast clouds
150,Olafsvik,IS,64.8945,-23.7142,42.35,88,100,22.44,heavy intensity rain
151,Marystown,CA,47.1666,-55.1483,50.86,100,100,7.0,overcast clouds
152,San Patricio,US,28.017,-97.5169,65.01,30,0,5.68,clear sky
153,Qasigiannguit,GL,68.8193,-51.1922,17.85,93,100,5.57,overcast clouds
154,Hasaki,JP,35.7333,140.8333,45.0,58,13,15.95,few clouds
155,Gushikawa,JP,26.3544,127.8686,67.62,77,90,12.66,mist
156,Kapaa,US,22.0752,-159.319,78.12,74,20,1.99,few clouds
157,Marsh Harbour,BS,26.5412,-77.0636,77.11,75,7,9.62,clear sky
158,Ewa Beach,US,21.3156,-158.0072,78.75,72,75,15.01,broken clouds
159,Torbay,CA,47.6666,-52.7314,56.75,91,90,37.98,light intensity drizzle
160,Olga,RU,43.7444,135.2892,14.4,52,6,22.08,clear sky
161,Umm Kaddadah,SD,13.6017,26.6876,73.4,28,16,11.45,few clouds
162,Yarada,IN,17.65,83.2667,75.52,83,40,2.3,mist
163,Vostok,RU,46.4856,135.8833,2.66,96,100,8.57,light snow
164,Les Cayes,HT,18.2,-73.75,82.78,63,63,3.09,broken clouds
165,San Jose,US,37.3394,-121.895,57.06,66,75,4.0,broken clouds
166,Vestmannaeyjar,IS,63.4427,-20.2734,44.31,69,100,22.08,overcast clouds
167,Nuuk,GL,64.1835,-51.7216,20.01,86,20,20.71,light shower snow
168,Jalu,LY,29.0331,21.5482,57.42,41,5,8.41,clear sky
169,Vila Velha,BR,-20.3297,-40.2925,84.15,83,0,11.99,clear sky
170,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,62,100,20.96,overcast clouds
171,Mezen,RU,65.8522,44.24,18.99,88,100,8.75,overcast clouds
172,Hambantota,LK,6.1241,81.1185,79.03,79,100,14.56,overcast clouds
173,Jimma,ET,7.6667,36.8333,59.58,42,95,1.43,overcast clouds
174,Lorengau,PG,-2.0226,147.2712,82.08,83,100,13.04,overcast clouds
175,Northam,GB,51.0333,-4.2167,54.01,86,97,20.58,overcast clouds
176,Dolinsk,RU,47.35,142.8,30.06,88,100,2.42,overcast clouds
177,Sirvintos,LT,55.05,24.95,29.21,88,100,5.5,overcast clouds
178,Kargasok,RU,59.0556,80.8572,-13.22,100,79,4.59,broken clouds
179,Illapel,CL,-31.6308,-71.1653,72.34,42,0,10.42,clear sky
180,Khatanga,RU,71.9667,102.5,-51.34,100,83,2.17,broken clouds
181,Lannion,FR,48.75,-3.4167,54.01,76,90,8.05,overcast clouds
182,Scarborough,GB,54.2797,-0.4044,54.09,90,92,7.0,overcast clouds
183,Pyu,MM,18.4833,96.4333,68.14,89,0,3.65,clear sky
184,Longyearbyen,SJ,78.2186,15.6401,31.84,80,75,17.27,broken clouds
185,Ayr,GB,55.4627,-4.6339,54.48,87,75,21.85,broken clouds
186,Elizabeth City,US,36.2946,-76.2511,52.02,37,0,9.71,clear sky
187,Rapar,IN,23.5667,70.6333,70.25,31,1,7.36,clear sky
188,Manono,CD,-7.3,27.4167,68.34,97,100,1.14,light rain
189,Saint-Georges,GD,12.0564,-61.7485,80.28,89,75,11.5,broken clouds
190,Teguise,ES,29.0605,-13.564,61.02,88,20,10.36,few clouds
191,Mayo,US,38.8876,-76.5119,52.21,35,1,5.01,clear sky
192,Cayenne,GF,4.9333,-52.3333,77.04,91,75,4.0,light rain
193,Shizuishan,CN,39.2333,106.7694,22.26,39,0,3.56,clear sky
194,Aripuana,BR,-9.1667,-60.6333,81.91,82,100,3.67,overcast clouds
195,Sovetskiy,RU,61.3614,63.5842,12.13,84,80,7.65,broken clouds
196,Poronaysk,RU,49.2167,143.1167,21.9,94,100,18.57,snow
197,Placido De Castro,BR,-10.3353,-67.1856,82.98,85,53,5.64,broken clouds
198,Hayden,US,47.766,-116.7866,39.49,78,40,11.5,scattered clouds
